0:	18	43	31	41	0	5	13	43	6	10	4	17	8	17	15	29	17	41	23	37	
1:	18	13	30	23	8	19	38	10	1	23	29	40	18	20	24	18	6	41	8	34	
2:	35	31	42	35	13	4	30	22	38	38	39	36	3	36	1	12	7	2	38	29	
3:	4	26	18	29	42	18	23	8	30	12	13	6	30	34	36	18	0	1	33	27	
4:	43	29	32	13	12	19	34	9	4	3	19	20	39	4	12	39	12	5	5	23	
5:	0	3	29	40	9	40	11	13	21	25	2	24	25	27	6	42	25	11	30	10	
6:	4	23	18	41	30	21	18	23	2	33	23	1	29	6	22	34	41	1	25	38	
7:	39	23	6	19	6	39	35	16	17	23	7	28	40	15	15	25	33	28	31	5	
8:	38	30	27	28	33	15	15	33	11	15	39	33	18	38	42	0	29	21	27	3	
9:	5	34	41	2	19	15	25	41	17	16	10	33	39	33	25	13	0	34	27	6	
10:	14	25	23	0	38	31	15	20	39	33	27	20	0	11	40	36	30	24	43	3	
11:	7	20	6	32	41	8	30	20	2	10	33	22	33	9	40	2	31	22	5	7	
12:	0	17	1	4	1	22	10	4	37	12	23	10	24	42	37	12	5	10	12	4	
13:	25	25	42	18	24	16	0	35	35	12	10	31	35	26	17	18	37	33	32	18	
14:	24	18	6	15	2	6	5	41	1	40	4	34	9	27	31	1	24	28	0	5	
15:	3	12	42	15	24	12	8	3	11	6	32	7	8	41	25	16	42	2	37	32	
16:	10	13	21	8	27	43	36	39	6	33	0	28	3	1	21	35	26	33	25	20	
17:	13	23	43	4	25	6	16	22	24	9	32	40	29	20	11	5	2	33	16	9	
18:	27	3	9	4	33	7	2	15	11	4	35	6	8	40	28	25	23	36	40	27	
19:	11	14	2	32	32	23	33	32	39	7	41	30	0	18	10	32	27	33	41	17	
20:	41	40	24	8	40	0	28	40	17	12	21	7	26	1	24	19	40	35	40	16	
21:	17	26	42	1	7	15	5	3	5	30	22	0	0	20	41	42	36	14	0	20	
22:	7	4	14	22	5	38	35	23	15	12	41	15	25	39	38	10	37	1	39	42	
23:	20	18	24	15	35	25	12	5	21	41	26	13	0	41	26	9	19	10	35	38	
24:	13	10	39	35	25	23	8	8	34	25	26	2	2	0	18	2	29	17	40	25	
25:	0	38	42	34	16	11	42	3	26	6	36	9	25	18	27	15	12	30	25	30	
26:	33	3	37	1	33	34	30	39	38	0	14	11	29	20	19	15	16	10	18	1	
27:	17	23	13	5	27	24	18	7	42	18	29	30	8	12	18	0	15	9	35	1	
28:	38	41	39	34	29	22	11	0	11	13	37	23	23	37	35	8	25	3	32	1	
29:	22	19	33	0	25	2	20	35	15	27	3	34	16	31	3	10	43	1	7	12	
30:	35	38	38	3	30	29	25	8	7	22	20	39	15	20	9	37	26	36	13	6	
31:	40	23	40	20	11	9	4	19	8	21	21	14	32	0	9	22	10	29	37	2	
32:	18	6	27	26	10	14	4	39	22	34	20	9	6	8	27	29	23	6	28	22	
33:	6	43	33	6	9	2	22	39	34	31	0	13	14	17	38	3	37	15	23	0	
34:	38	27	41	8	36	27	37	14	4	2	28	31	30	33	26	17	35	30	1	25	
35:	33	42	32	13	11	13	11	9	27	29	15	34	35	22	19	27	34	2	43	19	
36:	13	42	6	15	39	24	23	18	42	42	28	8	43	43	24	29	23	35	5	20	
37:	15	39	1	23	7	25	32	40	1	13	16	31	37	35	30	21	30	21	8	37	
38:	19	24	25	11	43	21	8	12	10	9	11	28	33	40	20	8	2	38	22	20	
39:	9	31	35	13	13	21	1	8	26	3	37	7	16	22	32	34	22	39	23	9	
40:	42	32	35	11	1	24	31	5	20	16	41	3	9	22	11	30	3	20	18	15	
41:	4	35	27	2	35	17	30	20	33	32	15	40	37	12	18	35	36	28	27	0	
42:	6	32	3	26	0	29	2	25	20	25	4	15	1	42	33	43	17	17	32	36	
43:	19	43	19	25	21	29	20	3	35	43	17	34	39	43	1	28	34	1	5	31	
44:	27	30	0	26	23	4	0	12	41	34	39	39	35	22	40	31	6	3	6	27	
45:	8	36	27	30	39	24	43	37	31	32	32	11	40	43	17	25	10	28	7	21	
46:	5	39	35	38	6	37	11	28	36	25	13	12	43	43	11	35	23	22	13	33	
47:	40	5	16	40	19	1	22	10	41	37	1	13	31	21	39	28	1	6	22	13	
48:	14	39	37	39	24	22	30	11	19	38	27	21	12	14	0	39	25	8	13	36	
49:	22	36	40	23	18	7	10	41	16	2	41	39	41	25	37	16	40	28	10	5	
50:	3	17	10	15	13	6	7	37	26	4	18	41	35	7	8	19	30	7	10	38	
51:	25	21	15	17	2	12	10	2	29	6	21	34	22	7	7	25	25	40	43	4	
52:	35	19	26	6	42	13	39	33	26	27	1	31	4	8	2	3	19	38	16	14	
